frame,total_ms,event_ms,render_ms,swap_ms,gpu_ms,estimated_ticks,jit_runs,svc_calls,import_calls,jni_calls,gl_calls,draw_calls,draw_vertices,buffer_upload_bytes,texture_upload_bytes,allocation_calls,free_calls,reallocation_calls,live_heap_bytes,scene_hint,top_imports,top_gl
11,305.6807,0.0734,305.5759,0.0308,0.1260,364639232,356093,356093,356092,0,77,10,126,0,0,47048,35717,838,32754448,,strcmp:147464|malloc:46255|strlen:40440|free:35478|memcpy:22830|memchr:12285|memcmp:12031|isspace:10947|isalnum:9940|atof:7010,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:7|glBindTexture:7|glEnable:4|glBindBuffer:4|glBlendFunc:4
12,58.7005,0.0909,58.5317,0.0770,1.8719,17952192,2886,2883,2882,0,86,10,126,0,1005720,78,70,0,32755104,,memcpy:2016|memcmp:201|memchr:178|fread:92|strlen:91|malloc:78|free:70|tolower:36|glVertexAttribPointer:30|fseek:18,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
13,0.8612,0.0511,0.5392,0.2704,0.1403,132096,129,129,124,3,77,10,126,0,0,3,3,0,32755104,,,
14,6.0657,0.0010,0.2040,5.8605,0.1434,112640,110,110,109,0,77,10,126,0,0,0,0,0,32755104,,,
15,16.4017,0.0495,0.1309,16.2208,0.1434,112640,110,110,109,0,77,10,126,0,0,0,0,0,32755104,,,
16,19.4395,0.3639,19.0573,0.0179,0.1454,907264,886,886,876,8,93,10,126,540,0,138,135,0,32755152,,,
17,14.2873,0.1256,14.1463,0.0149,1.0793,250880,245,245,244,0,93,11,126,0,0,32,11,0,32756960,,,
18,284.7546,0.1014,284.6280,0.0246,1.0496,141931520,138605,138605,138586,14,407,29,36,74496,238146,18942,15300,222,34240944,,strcmp:53074|malloc:18548|strlen:16553|free:15244|memcpy:12846|memchr:6838|memcmp:4945|atof:3437|fread:1694|memset:1317,glVertexAttribPointer:90|glBindBuffer:72|glTexParameteri:40|glBufferData:33|glUniformMatrix4fv:29|glDrawArrays:28|glActiveTexture:18|glBindTexture:18
19,10.6239,0.3145,10.2844,0.0243,0.2365,391168,382,382,381,0,236,30,108,31296,0,5,5,0,34240944,,,
20,52.2487,0.0013,52.2177,0.0293,0.4997,34279424,33476,33476,33475,0,431,43,900,60732,0,8281,7803,407,34354800,,malloc:7826|free:7608|memcpy:5969|strlen:4457|memcmp:3621|strtok:1857|realloc:407|atoi:288|calloc:260|memchr:225,glVertexAttribPointer:128|glBindBuffer:104|glUniformMatrix4fv:42|glDrawArrays:31|glBufferSubData:20|glActiveTexture:18|glBindTexture:18|glBufferData:16
21,0.8893,0.0013,0.8729,0.0143,0.3860,568320,555,555,554,0,366,43,906,31296,0,5,5,0,34354800,,,
22,0.9803,0.0010,0.9642,0.0148,0.4465,561152,548,548,547,0,366,43,906,31296,0,5,5,0,34354800,,,
23,16.3804,0.0012,1.0017,15.3771,0.3789,558080,545,545,544,0,366,43,906,31296,0,5,5,0,34354800,,,
24,16.6471,0.0012,0.8095,15.8360,0.3799,568320,555,555,554,0,366,43,918,31296,0,5,5,0,34354800,,,
25,16.7070,0.0016,1.0129,15.6921,0.3789,561152,548,548,547,0,366,43,942,31296,0,5,5,0,34354800,,,
26,16.7737,0.0032,1.9571,14.8126,0.3738,571392,558,558,557,0,366,43,948,31296,0,5,5,0,34354800,,,
27,16.7043,0.0044,2.7848,13.9136,0.3789,571392,558,558,557,0,366,43,966,31296,0,5,5,0,34354800,,,
28,16.6219,0.0062,3.8045,12.8094,0.3789,559104,546,546,545,0,357,42,984,31296,0,5,5,0,34354800,,,
29,17.0495,0.0057,3.6885,13.3535,0.3779,550912,538,538,537,0,357,42,990,31296,0,5,5,0,34354800,,,
30,16.5987,0.0090,5.6482,10.9386,0.3779,555008,542,542,541,0,357,42,1008,31296,0,5,5,0,34354800,,,
31,16.3035,0.0088,4.0585,12.2339,0.3768,550912,538,538,537,0,357,42,1038,31296,0,5,5,0,34354800,,,
32,16.6858,0.0047,2.2700,14.4094,0.3779,548864,536,536,535,0,357,42,1056,31296,0,5,5,0,34354800,,,
33,17.0117,8.4933,0.8790,7.6386,0.3779,555008,542,542,571,0,357,42,1086,31296,0,13,7,0,34355712,,,
34,16.2391,0.0019,1.1022,15.1345,0.3768,544768,532,532,531,0,357,42,1092,31296,0,5,5,0,34355712,,,
35,16.6669,0.0041,4.3044,12.3572,0.3789,553984,541,541,540,0,357,42,1110,31296,0,6,5,0,34355744,,,
36,16.7565,0.0043,3.2635,13.4875,0.3789,569344,556,556,555,0,365,43,1116,31296,0,5,5,0,34355744,,,
37,16.6208,0.0062,3.1959,13.4168,0.3779,569344,556,556,555,0,365,43,1140,31296,0,5,5,0,34355744,,,
38,16.6657,0.0065,4.2172,12.4400,0.3809,565248,552,552,551,0,365,43,1128,31296,0,5,5,0,34355744,,,
39,16.7283,0.0073,3.3706,13.3483,0.3789,563200,550,550,549,0,365,43,1140,31296,0,5,5,0,34355744,,,
40,16.5868,0.0076,3.7247,12.8522,0.3994,569344,556,556,555,0,365,43,1158,31296,0,5,5,0,34355744,,,
41,16.6140,0.0074,3.7079,12.8966,0.3789,565248,552,552,551,0,365,43,1164,31296,0,5,5,0,34355744,,,
42,16.6553,0.0070,3.9281,12.7182,0.4198,569344,556,556,555,0,365,43,1158,31296,0,5,5,0,34355744,,,
43,16.6429,0.0086,4.2927,12.3393,0.3789,569344,556,556,555,0,365,43,1176,31296,0,5,5,0,34355744,,,
44,14.9071,0.0090,4.1563,10.7394,1.6241,569344,556,556,555,0,365,43,1188,31296,0,5,5,0,34355744,,,
45,15.7727,0.0075,4.7216,11.0417,0.4424,565248,552,552,551,0,365,43,1176,31296,0,5,5,0,34355744,,,
46,16.6705,4.0724,1.8655,10.7312,0.3799,569344,556,556,568,0,365,43,1176,31296,0,7,13,0,34354832,,,
47,16.6430,0.0745,1.9790,14.5885,0.4014,559104,546,546,545,0,365,43,1182,31296,0,5,5,0,34354832,,,
48,16.7887,0.6357,2.1080,14.0438,0.3820,569344,556,556,555,0,365,43,1176,31296,0,5,5,0,34354832,,,
49,16.6142,1.1149,2.9479,12.5497,0.4004,569344,556,556,555,0,365,43,1152,31296,0,5,5,0,34354832,,,
50,16.6496,2.6407,2.3699,11.6379,0.3789,570368,557,557,556,0,365,43,1146,31296,0,5,5,0,34354832,,,
51,16.6523,2.0994,1.7073,12.8440,0.4475,565248,552,552,551,0,365,43,1140,31296,0,5,5,0,34354832,,,
52,16.6879,0.4544,2.0521,14.1802,0.4444,563200,550,550,549,0,365,43,1140,31296,0,5,5,0,34354832,,,
53,16.6674,2.3917,2.0832,12.1911,0.4557,569344,556,556,555,0,365,43,1140,31296,0,5,5,0,34354832,,,
54,16.4970,0.0800,3.1103,13.3056,0.3850,565248,552,552,551,0,365,43,1128,31296,0,5,5,0,34354832,,,
55,16.8342,0.5401,2.4584,13.8344,0.3860,569344,556,556,555,0,365,43,1134,31296,0,5,5,0,34354832,,,
56,16.5863,1.4875,2.1853,12.9119,0.3789,569344,556,556,555,0,365,43,1122,31296,0,5,5,0,34354832,,,
57,16.6184,3.1755,2.0059,11.4356,0.4547,569344,556,556,555,0,365,43,1116,31296,0,5,5,0,34354832,,,
58,16.7961,0.0751,2.9216,13.7983,0.4383,565248,552,552,551,0,365,43,1140,31296,0,5,5,0,34354832,,,
59,16.8804,1.2301,4.0789,11.5688,0.3799,546816,534,534,533,0,352,42,1146,31296,0,5,5,0,34354832,,,
60,16.4709,1.4297,4.3178,10.7206,2.4945,548864,536,536,535,0,352,42,1128,31296,0,5,5,0,34354832,,,
61,16.7023,0.0086,4.3437,12.3474,0.3820,552960,540,540,539,0,352,42,1146,31296,0,5,5,0,34354832,,,
62,16.8280,0.0087,4.7586,12.0583,0.3768,552960,540,540,539,0,352,42,1152,31296,0,5,5,0,34354832,,,
63,16.4563,0.0099,5.0124,11.4310,2.6563,549888,537,537,536,0,352,42,1158,31296,0,5,5,0,34354832,,,
64,17.3790,0.0100,4.6143,12.7518,0.4239,548864,536,536,535,0,352,42,1158,31296,0,5,5,0,34354832,,,
65,15.6231,8.7029,2.0821,4.8365,0.3871,550912,538,538,568,0,352,42,1164,31296,0,18,7,0,34356032,,,
66,16.6953,1.8572,1.2717,13.5654,0.3871,538624,526,526,539,4,352,42,1158,31296,0,10,7,0,34356080,,,
67,16.8549,0.0046,2.7875,14.0578,2.6112,545792,533,533,532,0,352,42,1140,31296,0,5,5,0,34356080,,,
68,16.8614,0.0075,4.0833,12.7685,0.3799,549888,537,537,536,0,352,42,1128,31296,0,5,5,0,34356080,,,
69,16.3729,0.0085,4.7893,11.5727,0.3850,549888,537,537,536,0,352,42,1122,31296,0,5,5,0,34356080,,,
70,16.8330,0.0086,4.2224,12.5995,0.4045,548864,536,536,535,0,352,42,1128,31296,0,5,5,0,34356080,,,
71,16.1134,0.0100,4.8854,11.2152,0.3901,549888,537,537,536,0,352,42,1104,31296,0,5,5,0,34356080,,,
72,16.6357,9.1488,0.6090,6.8774,0.2161,405504,396,396,1299,0,246,31,306,31296,0,26,510,0,34243568,,,
73,16.6732,0.2218,0.8317,15.6192,0.2161,394240,385,385,384,0,238,31,300,31296,0,5,5,0,34243568,,,
74,16.8433,0.5733,1.6840,14.5849,0.2755,398336,389,389,388,0,238,31,294,31296,0,5,5,0,34243568,,,
75,16.5022,3.1297,1.8275,11.5433,0.2150,401408,392,392,391,0,238,31,300,31296,0,5,5,0,34243568,,,
76,16.7258,1.0167,1.9929,13.7149,0.3195,400384,391,391,390,0,238,31,276,31296,0,5,5,0,34243568,,,
77,16.5520,2.4826,1.4209,12.6473,0.2130,401408,392,392,391,0,238,31,270,31296,0,5,5,0,34243568,,,
78,16.6236,1.8895,1.2932,13.4399,0.2130,400384,391,391,390,0,238,31,264,31296,0,5,5,0,34243568,,,
79,16.8341,0.7461,1.7430,14.3438,0.2263,395264,386,386,385,0,238,31,270,31296,0,5,5,0,34243568,,,
80,16.5665,1.4216,1.7024,13.4412,0.2140,401408,392,392,391,0,238,31,252,31296,0,5,5,0,34243568,,,
81,16.5705,2.9382,1.3369,12.2943,2.1012,402432,393,393,392,0,238,31,240,31296,0,5,5,0,34243568,,,
82,16.7551,0.0629,1.3979,15.2932,0.2468,400384,391,391,390,0,238,31,222,31296,0,5,5,0,34243568,,,
83,16.4785,2.3027,1.4673,12.7072,0.3512,401408,392,392,391,0,238,31,216,31296,0,5,5,0,34243568,,,
84,16.6679,0.2558,1.2642,15.1470,0.2130,400384,391,391,390,0,238,31,204,31296,0,5,5,0,34243568,,,
85,16.8773,0.6735,1.3365,14.8662,0.2140,401408,392,392,391,0,238,31,210,31296,0,5,5,0,34243568,,,
86,16.6191,0.8085,1.6125,14.1968,0.2857,395264,386,386,385,0,238,31,204,31296,0,5,5,0,34243568,,,
87,16.7624,2.5243,1.6923,12.5445,0.2140,401408,392,392,391,0,238,31,210,31296,0,5,5,0,34243568,,,
88,16.7061,1.1259,2.8862,12.6917,0.3103,400384,391,391,390,0,238,31,192,31296,0,5,5,0,34243568,,,
89,16.7520,3.3962,2.2286,11.1253,0.2140,401408,392,392,488,0,238,31,186,31296,0,18,7,0,34244768,,,
90,16.5876,0.0066,3.4893,13.0897,0.2109,390144,381,381,380,0,230,30,180,31296,0,5,5,0,34244768,,,
91,16.7774,0.0082,3.6570,13.1101,0.2120,391168,382,382,381,0,230,30,180,31296,0,5,5,0,34244768,,,
92,16.4717,0.0105,4.2460,12.2125,0.2130,385024,376,376,375,0,230,30,174,31296,0,5,5,0,34244768,,,
93,16.2762,0.0108,4.3988,11.8638,0.3195,390144,381,381,380,0,230,30,174,31296,0,5,5,0,34244768,,,
94,19.4162,18.0040,1.3919,0.0196,0.3041,535552,523,523,1512,0,244,31,192,31512,0,399,198,4,34271360,,,
95,13.8450,0.0384,0.7735,13.0328,0.3072,406528,397,397,396,0,237,31,192,31296,0,5,5,0,34271360,,,
96,17.3772,0.0012,0.5657,16.8100,0.3072,409600,400,400,399,0,237,31,198,31296,0,5,5,0,34271360,,,
97,17.1979,0.0032,1.9797,15.2139,0.3133,414720,405,405,404,0,237,31,198,31296,0,5,5,0,34271360,,,
98,15.2917,0.0052,2.2471,13.0379,0.3492,413696,404,404,403,0,237,31,204,31296,0,5,5,0,34271360,,,
99,17.2231,0.0016,0.6081,16.6126,0.3052,406528,397,397,396,0,237,31,192,31296,0,5,5,0,34271360,,,
100,16.0894,0.0022,0.7064,15.3796,0.3052,413696,404,404,403,0,237,31,198,31296,0,5,5,0,34271360,,,
101,21.5441,0.0018,21.5224,0.0194,0.4086,3246080,3170,3170,3169,0,223,28,36,31296,29484,425,302,0,34291424,,memcpy:637|strlen:471|malloc:421|free:302|memcmp:281|strcmp:258|memchr:196|fread:154|glVertexAttribPointer:83|memset:62,glVertexAttribPointer:83|glBindBuffer:28|glDrawArrays:27|glUniformMatrix4fv:27|glBufferSubData:12|glActiveTexture:9|glBindTexture:9|glEnable:6
102,11.7584,0.0015,0.7818,10.9747,0.3287,373760,365,365,364,0,214,28,36,31296,0,5,5,0,34291424,,,
103,16.6954,0.0016,0.7100,15.9832,0.3072,372736,364,364,363,0,214,28,36,31296,0,5,5,0,34291424,,,
104,16.7218,0.0030,1.5653,15.1527,0.3052,373760,365,365,364,0,214,28,36,31296,0,5,5,0,34291424,,,
105,16.6249,0.0043,2.2240,14.3953,0.3041,367616,359,359,358,0,214,28,36,31296,0,5,5,0,34291424,,,
106,16.8201,0.0041,1.8496,14.9652,0.3543,372736,364,364,363,0,214,28,36,31296,0,5,5,0,34291424,,,
107,16.9798,0.0063,3.2958,13.6759,0.3144,373760,365,365,364,0,214,28,36,31296,0,5,5,0,34291424,,,
108,16.5019,0.0106,5.7364,10.7520,0.3103,373760,365,365,364,0,214,28,36,31296,0,5,5,0,34291424,,,
109,16.5303,0.0105,3.6962,12.8209,0.3052,372736,364,364,363,0,214,28,36,31296,0,5,5,0,34291424,,,
110,16.7919,0.0050,1.8689,14.9164,0.3052,373760,365,365,364,0,214,28,36,31296,0,5,5,0,34291424,,,
111,16.4662,0.0082,4.0924,12.3634,0.7721,365568,357,357,356,0,177,24,12,30912,0,17,17,0,34291424,,,
112,16.9270,0.0092,2.6042,14.3112,0.3092,307200,300,300,299,0,176,24,12,30720,0,5,5,0,34291424,,,
113,16.7613,0.0112,4.2286,12.5188,0.2898,315392,308,308,307,0,176,24,12,30720,0,5,5,0,34291424,,,
114,16.7273,0.0106,3.9188,12.7952,0.2898,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
115,16.3986,0.0104,2.8743,13.5110,0.2888,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
116,16.7106,0.1735,3.3636,13.1711,0.2898,313344,306,306,305,0,176,24,12,30720,0,5,5,0,34291424,,,
117,16.3266,0.0106,4.0736,12.2398,2.3398,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
118,16.9162,0.0063,2.4399,14.4682,0.3072,313344,306,306,305,0,176,24,12,30720,0,5,5,0,34291424,,,
119,16.6492,0.0080,2.9520,13.6867,0.2898,308224,301,301,300,0,176,24,12,30720,0,5,5,0,34291424,,,
120,16.5633,0.0106,4.1243,12.4256,0.2888,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
121,16.4429,0.0082,3.0149,13.4177,0.2980,313344,306,306,305,0,176,24,12,30720,0,5,5,0,34291424,,,
122,16.6279,1.3579,2.4781,12.7900,0.3994,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
123,16.5475,4.2504,1.5810,10.7146,0.2898,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
124,16.7033,0.0941,1.6908,14.9171,0.2898,313344,306,306,305,0,176,24,12,30720,0,5,5,0,34291424,,,
125,16.5629,2.3715,1.3905,12.7993,0.3830,314368,307,307,306,0,176,24,12,30720,0,5,5,0,34291424,,,
126,16.7439,0.8266,4.3430,11.5731,2.0091,330752,323,323,322,0,176,24,12,30720,0,11,15,0,34291232,,,
127,16.4481,3.2919,10.6211,2.5334,0.3133,1646592,1608,1608,1607,0,185,23,12,30720,0,26,991,0,34053456,,,
128,16.7028,0.5982,0.2464,15.8575,0.2499,210944,206,206,205,0,132,23,12,0,0,0,0,0,34053456,,,
129,16.7448,0.6898,0.6474,15.4064,0.1894,211968,207,207,206,0,132,23,12,0,0,0,0,0,34053456,,,
130,16.6811,1.8901,0.7428,14.0469,0.2652,211968,207,207,206,0,132,23,12,0,0,0,0,0,34053456,,,
131,16.6363,1.6897,0.7249,14.2210,0.2826,210944,206,206,205,0,132,23,12,0,0,0,0,0,34053456,,,
132,16.6066,3.1570,0.7898,12.6587,0.2089,211968,207,207,206,0,132,23,12,0,0,0,0,0,34053456,,,
133,16.8561,1.1307,1.2358,14.4879,0.1894,210944,206,206,205,0,132,23,12,0,0,0,0,0,34053456,,,
134,16.5064,5.3739,0.9256,10.2056,0.1884,211968,207,207,303,0,132,23,12,0,0,15,2,0,34055088,,,
135,16.8373,0.9070,1.2128,14.7161,0.1946,210944,206,206,275,4,132,23,12,0,0,2,2,0,34055088,,,
136,16.7648,0.0075,1.7418,15.0134,0.2048,211968,207,207,206,0,132,23,12,0,0,0,0,0,34055088,,,
137,16.5764,0.0104,2.4970,14.0663,0.1894,211968,207,207,206,0,132,23,12,0,0,0,0,0,34055088,,,
138,16.7064,0.0103,2.5738,14.1196,0.1946,210944,206,206,205,0,132,23,12,0,0,0,0,0,34055088,,,
139,16.1344,0.0102,3.0227,13.0986,0.1894,211968,207,207,206,0,132,23,12,0,0,0,0,0,34055088,,,
140,40.0005,39.1365,0.8390,0.0243,0.4342,527360,515,515,12084,8,318,24,12,19764,64000,2337,1096,17,34264448,,memcmp:2603|memcpy:2346|malloc:2114|strlen:1427|free:1085|strcmp:1004|memset:396|calloc:210|memchr:196|fread:154,glBindBuffer:96|glVertexAttribPointer:71|glBufferData:46|glDrawArrays:23|glGenBuffers:23|glUniformMatrix4fv:23|glActiveTexture:8|glBindTexture:8
141,0.5992,0.3010,0.2860,0.0117,0.2744,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
142,9.3522,0.0008,0.2488,9.1024,0.2755,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
143,16.5488,0.0011,0.2800,16.2674,0.2898,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
144,16.7351,0.0020,0.3901,16.3421,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
145,16.7965,0.0033,0.9176,15.8745,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
146,16.7399,0.0057,1.6027,15.1297,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
147,16.6519,0.0060,1.6824,14.9617,0.2826,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
148,16.9202,0.0074,2.2027,14.7076,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
149,16.4044,2.0749,1.7424,12.5848,0.3318,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
150,16.3940,1.6507,1.2005,13.5410,0.2867,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
151,16.6868,0.0711,0.8745,15.7401,0.2826,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
152,16.7320,0.6234,1.0370,15.0657,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
153,16.5508,2.8541,0.7100,12.9854,1.9937,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
154,16.8131,0.5327,1.1453,15.1339,0.2847,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
155,16.4891,1.9440,0.8743,13.6696,0.2836,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
156,16.6606,0.9519,0.8252,14.8823,1.8934,237568,232,232,231,0,143,24,12,0,0,0,0,0,34264448,,,
157,16.7057,0.7103,0.9853,15.0085,0.2929,238592,233,233,232,0,143,24,12,0,0,0,0,0,34264448,,,
158,16.6575,1.7572,2.5909,12.3082,0.5253,864256,844,844,843,0,462,57,1092,17472,0,0,0,0,34264448,,,
159,16.6715,0.9882,1.7645,13.9175,0.3492,641024,626,626,625,0,440,57,1092,0,0,0,0,0,34264448,,,
160,16.6191,1.2674,2.1593,13.1912,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
161,16.6252,1.6821,1.4417,13.5004,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
162,16.6631,2.1668,1.5286,12.9667,0.3482,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
163,16.7810,0.8816,2.3794,13.5185,0.3471,641024,626,626,625,0,440,57,1092,0,0,0,0,0,34264448,,,
164,16.6871,1.4594,2.1681,13.0578,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
165,16.5770,2.1982,1.7825,12.5950,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
166,16.6728,1.0960,2.2991,13.2761,0.3533,641024,626,626,625,0,440,57,1092,0,0,0,0,0,34264448,,,
167,16.6937,2.0174,2.2295,12.4452,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
168,16.6500,0.8154,2.8930,12.9396,0.3492,641024,626,626,625,0,440,57,1092,0,0,0,0,0,34264448,,,
169,16.6016,1.1730,2.9360,12.4910,0.3471,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
170,16.7372,2.0823,1.8603,12.7932,0.3492,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
171,16.5355,1.8174,1.9386,12.7780,2.0081,641024,626,626,625,0,440,57,1092,0,0,0,0,0,34264448,,,
172,16.7017,0.0968,2.4294,14.1697,0.3471,642048,627,627,626,0,440,57,1092,0,0,0,0,0,34264448,,,
173,16.6558,5.5181,1.6129,9.5233,0.3430,665600,650,650,649,0,440,57,1092,0,0,5,12,0,34263664,,,
174,16.7111,2.1842,2.1092,12.4161,0.2560,689152,673,673,672,0,433,56,1092,0,0,0,19,1,34262096,,,
175,16.5049,1.8022,1.6709,13.0308,0.2570,617472,603,603,602,0,429,56,1092,0,0,0,0,0,34262096,,,
176,16.6577,1.2354,1.6944,13.7267,0.2570,616448,602,602,601,0,429,56,1092,0,0,0,0,0,34262096,,,
177,16.6770,0.0403,2.3671,14.2687,0.2570,617472,603,603,602,0,429,56,1092,0,0,0,0,0,34262096,,,
178,16.6322,2.7181,1.7809,12.1319,0.2570,617472,603,603,602,0,429,56,1092,0,0,0,0,0,34262096,,,
179,16.7597,1.4197,2.2975,13.0412,0.2570,616448,602,602,601,0,429,56,1092,0,0,0,0,0,34262096,,,
180,16.4206,11.5322,0.7615,4.1259,0.2570,617472,603,603,731,0,429,56,1092,0,0,15,2,0,34263728,,,
181,16.7716,0.0021,0.8619,15.9071,0.2560,616448,602,602,601,0,429,56,1092,0,0,0,0,0,34263728,,,
182,16.8987,0.0044,2.2386,14.6545,0.2570,617472,603,603,602,0,429,56,1092,0,0,0,0,0,34263728,,,
